1.000 V1000 arrived at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
1.200 V1001 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ ], 2:Q2 [ ] ]
1.600 V1002 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ ], 2:Q2 [ V1001 ] ]
2.000 V1003 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ V1002 ], 2:Q2 [ V1001 ] ]
2.200 V1004 arrived at VC: [ 0:Q0 [ V1000 ], 1:Q1 [ V1002 ], 2:Q2 [ V1001 V1003 ] ]
2.400 TG123 arrived at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ V1001 V1003 ] ]
2.500 TG123 picked up V1001 at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ V1003 ] ]
2.700 V1001 admitted VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ V1003 ] ]
2.800 TG123 picked up V1003 at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ ] ]
2.900 V1005 arrived at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ ] ]
3.000 V1003 admitted VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ V1005 ] ]
3.100 TG123 picked up V1005 at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ ] ]
3.300 V1005 admitted VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ V1002 ], 2:Q2 [ ] ]
3.400 TG123 picked up V1002 at VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ ], 2:Q2 [ ] ]
3.600 V1002 admitted VC: [ 0:Q0 [ V1000 V1004 ], 1:Q1 [ ], 2:Q2 [ ] ]
3.700 TG123 picked up V1000 at VC: [ 0:Q0 [ V1004 ], 1:Q1 [ ], 2:Q2 [ ] ]
4.100 V1000 admitted VC: [ 0:Q0 [ V1004 ], 1:Q1 [ ], 2:Q2 [ ] ]
4.200 TG123 picked up V1004 at VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
4.600 V1004 admitted VC: [ 0:Q0 [ ], 1:Q1 [ ], 2:Q2 [ ] ]
